M_HP;LWT;T_OA;COP
46,0;30;-25;1,96
46,0;30;-20;2,33
46,0;30;-15;2,70
46,0;30;-7;2,96
46,0;30;-4;3,18
46,0;30;-2;3,51
46,0;30;2;3,52
46,0;30;7;4,74
46,0;30;10;5,05
46,0;30;15;5,67
46,0;30;18;6,34
46,0;30;20;6,56
46,0;30;35;8,23
46;35;-25;1,70
46;35;-20;1,94
46;35;-15;2,18
46;35;-7;2,80
46;35;-4;2,98
46;35;-2;3,11
46;35;2;3,35
46;35;7;4,40
46;35;10;4,69
46;35;15;5,54
46;35;18;5,85
46;35;20;6,05
46;35;35;7,60
46;40;-25;1,44
46;40;-20;1,74
46;40;-15;2,05
46;40;-7;2,64
46;40;-4;2,79
46;40;-2;2,90
46;40;2;3,14
46;40;7;4,06
46;40;10;4,33
46;40;15;5,08
46;40;18;5,36
46;40;20;5,55
46;40;35;6,96
46;45;-25;1,18
46;45;-20;1,55
46;45;-15;1,92
46;45;-7;2,48
46;45;-4;2,59
46;45;-2;2,70
46;45;2;2,93
46;45;7;3,72
46;45;10;3,96
46;45;15;4,62
46;45;18;4,87
46;45;20;5,05
46;45;35;6,33
28,8;50;-25;1,00
28,8;50;-20;1,34
28,8;50;-15;1,78
28,8;50;-7;2,31
28,8;50;-4;2,40
28,8;50;-2;2,50
28,8;50;2;2,73
28,8;50;7;3,38
28,8;50;10;3,60
28,8;50;15;4,16
28,8;50;18;4,39
28,8;50;20;4,54
28,8;50;35;5,70
28,8;55;-25;1,00
28,8;55;-20;1,00
28,8;55;-15;1,65
28,8;55;-7;2,15
28,8;55;-4;2,20
28,8;55;-2;2,30
28,8;55;2;2,52
28,8;55;7;2,75
28,8;55;10;3,24
28,8;55;15;3,69
28,8;55;18;3,90
28,8;55;20;4,04
28,8;55;35;5,07