T_OA;T_sup_HP;COP_real;Q_HP_real;W_HP;m_HP
-25;30;2,08;9,25;4,45;0,67
-20;30;2,26;10,63;4,7;0,67
-15;30;2,45;12;4,9;0,67
-7;30;3,12;14;4,49;0,67
-4;30;3,3;14;4,24;0,67
-2;30;3,39;14;4,13;0,67
2;30;3,65;14;3,84;0,67
7;30;4,83;14;2,9;0,67
10;30;5,12;14;2,73;0,67
15;30;6,02;14;2,33;0,67
18;30;6,33;14;2,21;0,67
20;30;6,53;14;2,14;0,67
-25;30;1,8;9;5;0,67
-20;35;2,05;10,5;5,12;0,67
-15;35;2,3;12;5,22;0,67
-7;35;2,95;14;4,75;0,67
-4;35;3,1;14;4,52;0,67
-2;35;3,2;14;4,38;0,67
2;35;3,4;14;4,12;0,67
7;35;4,5;14;3,11;0,67
10;35;4,77;14;2,94;0,67
15;35;5,57;14;2,51;0,67
18;35;5,86;14;2,39;0,67
20;35;6,05;14;2,31;0,67
-25;40;1,53;8,75;5,72;0,67
-20;40;1,84;10,38;5,64;0,67
-15;40;2,15;12;5,58;0,67
-7;40;2,79;14;5,02;0,67
-4;40;2,9;14;4,83;0,67
-2;40;3,01;14;4,65;0,67
2;40;3,21;14;4,36;0,67
7;40;4,17;14;3,36;0,67
10;40;4,42;14;3,17;0,67
15;40;5,13;14;2,73;0,67
18;40;5,39;14;2,6;0,67
20;40;5,57;14;2,51;0,67
-25;45;1,25;8,5;6,8;0,67
-20;45;1,63;10,25;6,29;0,67
-15;45;2;12;6;0,67
-7;45;2,63;14;5,32;0,67
-4;45;2,7;14;5,19;0,67
-2;45;2,82;14;4,96;0,67
2;45;3,02;14;4,64;0,67
7;45;3,83;14;3,66;0,67
10;45;4,06;14;3,45;0,67
15;45;4,68;14;2,99;0,67
18;45;4,92;14;2,85;0,67
20;45;5,08;14;2,76;0,67
-25;50;NaN;NaN;NaN;0,42
-20;50;1,41;10,13;7,18;0,42
-15;50;1,85;12;6,49;0,42
-7;50;2,46;14;5,69;0,42
-4;50;2,5;14;5,6;0,42
-2;50;2,63;14;5,32;0,42
2;50;2,83;14;4,95;0,42
7;50;3,5;14;4;0,42
10;50;3,71;14;3,77;0,42
15;50;4,24;14;3,3;0,42
18;50;4,45;14;3,15;0,42
20;50;4,6;14;3,04;0,42
-25;55;NaN;NaN;NaN;0,42
-20;55;NaN;NaN;NaN;0,42
-15;55;1,7;12;7,06;0,42
-7;55;2,3;14;6,09;0,42
-4;55;2,3;14;6,09;0,42
-2;55;2,43;14;5,76;0,42
2;55;2,63;14;5,32;0,42
7;55;2,78;14;5,04;0,42
10;55;3,36;14;4,17;0,42
15;55;3,79;14;3,69;0,42
18;55;3,99;14;3,51;0,42
20;55;4,12;14;3,4;0,42
-25;60;NaN;NaN;NaN;0,34
-20;60;NaN;NaN;NaN;0,34
-15;60;NaN;NaN;NaN;0,34
-7;60;2,14;14;6,54;0,34
-4;60;2,1;14;6,67;0,34
-2;60;2,24;14;6,25;0,34
2;60;2,44;14;5,74;0,34
7;60;2,5;14;5,6;0,34
10;60;3;14;4,67;0,34
15;60;3,35;14;4,18;0,34
18;60;3,52;14;3,98;0,34
20;60;3,63;14;3,86;0,34
-25;65;NaN;NaN;NaN;0,34
-20;65;NaN;NaN;NaN;0,34
-15;65;NaN;NaN;NaN;0,34
-7;65;NaN;NaN;NaN;0,34
-4;65;1,95;14;7,18;0,34
-2;65;2,05;14;6,83;0,34
2;65;2,25;14;6,22;0,34
7;65;2,5;14;5,6;0,34
10;65;2,65;14;5,28;0,34
15;65;2,9;14;4,83;0,34
18;65;3,05;14;4,59;0,34
20;65;3,15;14;4,44;0,34