T_B,T_S,iter,sequence
"[300.0, 300.0, 300.0, 300.0]","[320.0, 320.0, 320.0, 320.0, 320.0, 320.0, 320.0, 320.0, 320.0, 320.0, 320.0, 320.0]",0,"[[0, 1, 0], [0, 1, 0], [0, 0, 0], [0, 0, 0]]"
"[317.6, 312.2, 306.4, 302.5]","[320.0, 320.0, 319.8, 319.4, 318.4, 316.6, 313.9, 310.8, 308.2, 306.6, 306.0, 305.9]",1,"[[0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0]]"
"[308.5, 305.7, 304.4, 303.7]","[319.8, 319.5, 318.9, 317.6, 315.7, 313.2, 310.5, 308.3, 306.8, 306.1, 305.5, 304.4]",2,"[[0, 1, 0], [1, 1, 1], [1, 0, 1], [0, 0, 0]]"
"[313.1, 314.9, 314.5, 311.9]","[310.0, 308.3, 307.1, 306.2, 305.8, 305.7, 305.8, 305.9, 305.8, 305.8, 305.9, 306.3]",3,"[[1, 1, 1], [1, 1, 1], [0, 0, 0], [0, 0, 0]]"
"[315.4, 313.7, 313.2, 313.3]","[310.8, 308.6, 307.2, 306.3, 305.8, 305.7, 305.8, 305.9, 305.8, 305.8, 305.9, 306.3]",4,"[[1, 1, 1], [1, 1, 1], [0, 0, 0], [0, 0, 0]]"
"[314.4, 314.1, 314.1, 314.0]","[313.8, 312.1, 310.0, 308.3, 307.1, 306.3, 305.9, 305.8, 305.8, 305.8, 305.8, 305.9]",5,"[[1, 1, 1], [0, 0, 0], [0, 0, 0], [0, 0, 0]]"
"[318.7, 317.6, 316.4, 315.5]","[313.8, 312.1, 310.0, 308.3, 307.1, 306.3, 305.9, 305.8, 305.8, 305.8, 305.8, 305.9]",6,"[[0, 0, 0], [1, 1, 1], [0, 0, 0], [0, 0, 0]]"
"[318.5, 317.4, 316.0, 312.7]","[308.8, 307.6, 306.7, 306.2, 305.9, 305.8, 305.6, 305.2, 304.3, 303.0, 301.4, 300.3]",7,"[[1, 1, 1], [1, 1, 1], [0, 0, 0], [0, 0, 0]]"
"[315.0, 315.0, 315.0, 315.2]","[308.8, 307.6, 306.7, 306.2, 305.9, 305.8, 305.6, 305.2, 304.3, 303.0, 301.4, 300.3]",8,"[[1, 1, 1], [0, 0, 0], [1, 1, 1], [0, 0, 0]]"
"[318.9, 317.1, 316.6, 316.6]","[310.7, 308.0, 306.9, 306.3, 306.0, 305.8, 305.6, 305.3, 304.5, 303.2, 301.8, 300.6]",9,"[[1, 1, 1], [0, 0, 0], [1, 1, 1], [0, 0, 0]]"
"[319.1, 317.3, 316.4, 316.5]","[310.7, 308.0, 306.9, 306.3, 306.0, 305.8, 305.6, 305.3, 304.5, 303.2, 301.8, 300.6]",10,"[[1, 1, 1], [0, 0, 0], [1, 1, 1], [0, 0, 0]]"
"[319.1, 317.3, 316.4, 316.4]","[310.7, 308.0, 306.9, 306.3, 306.0, 305.8, 305.6, 305.3, 304.5, 303.2, 301.8, 300.6]",11,"[[1, 1, 1], [0, 0, 0], [1, 1, 1], [0, 0, 0]]"
"[319.1, 317.3, 316.4, 316.4]","[310.7, 308.0, 306.9, 306.3, 306.0, 305.8, 305.6, 305.3, 304.5, 303.2, 301.8, 300.6]",12,"[[1, 1, 1], [0, 0, 0], [1, 1, 1], [0, 0, 0]]"
"[319.1, 317.3, 316.4, 316.4]","[310.7, 308.0, 306.9, 306.3, 306.0, 305.8, 305.6, 305.3, 304.5, 303.2, 301.8, 300.6]",13,"[[1, 1, 1], [0, 0, 0], [1, 1, 1], [0, 0, 0]]"
"[319.1, 317.3, 316.4, 316.4]","[310.7, 308.0, 306.9, 306.3, 306.0, 305.8, 305.6, 305.3, 304.5, 303.2, 301.8, 300.6]",14,"[[1, 1, 1], [0, 0, 0], [1, 1, 1], [0, 0, 0]]"
"[319.1, 317.3, 316.4, 316.4]","[310.7, 308.0, 306.9, 306.3, 306.0, 305.8, 305.6, 305.3, 304.5, 303.2, 301.8, 300.6]",15,"[[1, 1, 1], [0, 0, 0], [1, 1, 1], [0, 0, 0]]"
"[319.1, 317.3, 316.4, 316.4]","[310.7, 308.0, 306.9, 306.3, 306.0, 305.8, 305.6, 305.3, 304.5, 303.2, 301.8, 300.6]",16,"[[1, 1, 1], [0, 0, 0], [1, 1, 1], [0, 0, 0]]"
"[319.1, 317.3, 316.4, 316.4]","[310.7, 308.0, 306.9, 306.3, 306.0, 305.8, 305.6, 305.3, 304.5, 303.2, 301.8, 300.6]",17,"[[1, 1, 1], [0, 0, 0], [1, 1, 1], [0, 0, 0]]"
"[319.1, 317.3, 316.4, 316.4]","[310.7, 308.0, 306.9, 306.3, 306.0, 305.8, 305.6, 305.3, 304.5, 303.2, 301.8, 300.6]",18,"[[1, 1, 1], [0, 0, 0], [1, 1, 1], [0, 0, 0]]"
"[319.1, 317.3, 316.4, 316.4]","[310.7, 308.0, 306.9, 306.3, 306.0, 305.8, 305.6, 305.3, 304.5, 303.2, 301.8, 300.6]",19,"[[1, 1, 1], [0, 0, 0], [1, 1, 1], [0, 0, 0]]"
"[319.1, 317.3, 316.4, 316.4]","[310.7, 308.0, 306.9, 306.3, 306.0, 305.8, 305.6, 305.3, 304.5, 303.2, 301.8, 300.6]",20,"[[1, 1, 1], [0, 0, 0], [1, 1, 1], [0, 0, 0]]"
"[319.1, 317.3, 316.4, 316.4]","[310.7, 308.0, 306.9, 306.3, 306.0, 305.8, 305.6, 305.3, 304.5, 303.2, 301.8, 300.6]",21,"[[1, 1, 1], [0, 0, 0], [1, 1, 1], [0, 0, 0]]"
"[319.1, 317.3, 316.4, 316.4]","[310.7, 308.0, 306.9, 306.3, 306.0, 305.8, 305.6, 305.3, 304.5, 303.2, 301.8, 300.6]",22,"[[1, 1, 1], [0, 0, 0], [1, 1, 1], [0, 0, 0]]"
"[319.1, 317.3, 316.4, 316.4]","[310.7, 308.0, 306.9, 306.3, 306.0, 305.8, 305.6, 305.3, 304.5, 303.2, 301.8, 300.6]",23,"[[1, 1, 1], [0, 0, 0], [1, 1, 1], [0, 0, 0]]"
"[319.1, 317.3, 316.4, 316.4]","[310.7, 308.0, 306.9, 306.3, 306.0, 305.8, 305.6, 305.3, 304.5, 303.2, 301.8, 300.6]",24,"[[1, 1, 1], [0, 0, 0], [1, 1, 1], [0, 0, 0]]"
"[319.1, 317.3, 316.4, 316.4]","[310.7, 308.0, 306.9, 306.3, 306.0, 305.8, 305.6, 305.3, 304.5, 303.2, 301.8, 300.6]",25,"[[1, 1, 1], [0, 0, 0], [1, 1, 1], [0, 0, 0]]"
"[319.1, 317.3, 316.4, 316.4]","[310.7, 308.0, 306.9, 306.3, 306.0, 305.8, 305.6, 305.3, 304.5, 303.2, 301.8, 300.6]",26,"[[1, 1, 1], [0, 0, 0], [1, 1, 1], [0, 0, 0]]"
"[319.1, 317.3, 316.4, 316.4]","[310.7, 308.0, 306.9, 306.3, 306.0, 305.8, 305.6, 305.3, 304.5, 303.2, 301.8, 300.6]",27,"[[1, 1, 1], [0, 0, 0], [1, 1, 1], [0, 0, 0]]"
"[319.1, 317.3, 316.4, 316.4]","[310.7, 308.0, 306.9, 306.3, 306.0, 305.8, 305.6, 305.3, 304.5, 303.2, 301.8, 300.6]",28,"[[1, 1, 1], [0, 0, 0], [1, 1, 1], [0, 0, 0]]"
"[319.1, 317.3, 316.4, 316.4]","[310.7, 308.0, 306.9, 306.3, 306.0, 305.8, 305.6, 305.3, 304.5, 303.2, 301.8, 300.6]",29,"[[1, 1, 1], [0, 0, 0], [1, 1, 1], [0, 0, 0]]"
"[319.1, 317.3, 316.4, 316.4]","[310.7, 308.0, 306.9, 306.3, 306.0, 305.8, 305.6, 305.3, 304.5, 303.2, 301.8, 300.6]",30,"[[1, 1, 1], [0, 0, 0], [1, 1, 1], [0, 0, 0]]"
"[319.1, 317.3, 316.4, 316.4]","[310.7, 308.0, 306.9, 306.3, 306.0, 305.8, 305.6, 305.3, 304.5, 303.2, 301.8, 300.6]",31,"[[1, 1, 1], [0, 0, 0], [1, 1, 1], [0, 0, 0]]"
"[319.1, 317.3, 316.4, 316.4]","[310.7, 308.0, 306.9, 306.3, 306.0, 305.8, 305.6, 305.3, 304.5, 303.2, 301.8, 300.6]",32,"[[1, 1, 1], [0, 0, 0], [1, 1, 1], [0, 0, 0]]"
